Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1I6,,,TWA,DQ,TWA,1,,No,No
A,HC1I6,,,TWA,DQ,TWA,2,,No,No
A,HC1I6,,,TWA,DQ,TWA,3,,No,No
A,HC1I6,,,TWA,DQ,TWA,4,,No,No
A,HC1I6,,,TWA,DQ,TWA,5,,No,No
A,HC1I6,,,TWA,HO,TWA,1,,No,No
A,HC1I6,,,TWA,HO,TWA,2,,No,No
A,HC1I6,,,TWA,HO,TWA,3,,No,No
A,HC1I6,,,TWA,HO,TWA,4,,No,No
A,HC1I6,,,TWA,HO,TWA,5,,No,No
A,HC1I6,,,TWA,TE,TWA,1,,No,No
A,HC1I6,,,TWA,TE,TWA,2,,No,No
A,HC1I6,,,TWA,TE,TWA,3,,No,No
A,HC1I6,,,TWA,TE,TWA,4,,No,No
A,HC1I6,,,TWA,TE,TWA,5,,No,No
A,HC1I6,,,TWBZ,1A,B1T,1,,No,No
A,HC1I6,,,TWBZ,1A,B1T,2,,No,No
A,HC1I6,,,TWBZ,1A,B1T,3,,No,No
A,HC1I6,,,TWBZ,1A,B1T,4,,No,No
A,HC1I6,,,TWBZ,AA,B1T,1,,No,No
A,HC1I6,,,TWBZ,AA,B1T,2,,No,No
A,HC1I6,,,TWBZ,AA,B1T,3,,No,No
A,HC1I6,,,TWBZ,AA,B1T,4,,No,No
A,HC1I6,,,TWBZ,UA,B1T,1,,No,No
A,HC1I6,,,TWBZ,UA,B1T,2,,No,No
A,HC1I6,,,TWBZ,UA,B1T,3,,No,No
A,HC1I6,,,TWBZ,UA,B1T,4,,No,No
A,HC1I6,,,TWBZ,TW,B1T,1,,No,No
A,HC1I6,,,TWBZ,TW,B1T,2,,No,No
A,HC1I6,,,TWBZ,TW,B1T,3,,No,No
A,HC1I6,,,TWBZ,TW,B1T,4,,No,No
A,HC1I6,,,TWBZ,WB,B1T,1,,No,No
A,HC1I6,,,TWBZ,WB,B1T,2,,No,No
A,HC1I6,,,TWBZ,WB,B1T,3,,No,No
A,HC1I6,,,TWBZ,WB,B1T,4,,No,No
A,HC1I6,,,TWBZ,DQ,TWBZ,1,,No,No
A,HC1I6,,,TWBZ,DQ,TWBZ,2,,No,No
A,HC1I6,,,TWBZ,DQ,TWBZ,3,,No,No
A,HC1I6,,,TWBZ,DQ,TWBZ,4,,No,No
A,HC1I6,,,TWBZ,HO,TWBZ,1,,No,No
A,HC1I6,,,TWBZ,HO,TWBZ,2,,No,No
A,HC1I6,,,TWBZ,HO,TWBZ,3,,No,No
A,HC1I6,,,TWBZ,HO,TWBZ,4,,No,No
A,HC1I6,,,TWBZ,TE,TWBZ,1,,No,No
A,HC1I6,,,TWBZ,TE,TWBZ,2,,No,No
A,HC1I6,,,TWBZ,TE,TWBZ,3,,No,No
A,HC1I6,,,TWBZ,TE,TWBZ,4,,No,No
A,HC1N6,,,TWAZ,1A,D2S,1,,No,No
A,HC1N6,,,TWAZ,1A,D2S,2,,No,No
A,HC1N6,,,TWAZ,1A,D2S,3,,No,No
A,HC1N6,,,TWAZ,AA,D2S,1,,No,No
A,HC1N6,,,TWAZ,AA,D2S,2,,No,No
A,HC1N6,,,TWAZ,AA,D2S,3,,No,No
A,HC1N6,,,TWAZ,UA,D2S,1,,No,No
A,HC1N6,,,TWAZ,UA,D2S,2,,No,No
